sample_ID	reads_ID	Source	Origin	Microorganism	country	clindamycin	erythromycin	linezolid	vancomycin	cefepime	cefotaxime	ceftazidime	ertapenem	imipenem	meropenem	tigecycline	colistin	sulfamethoxazole	trimethoprim
SRR1060582	SRR1060582_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1122619	SRR1122619_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1122635	SRR1122635_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1122659	SRR1122659_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1181566	SRR1181566_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1200748	SRR1200748_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1200761	SRR1200761_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1202997	SRR1202997_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1203044	SRR1203044_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1220721	SRR1220721_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1299364	SRR1299364_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1300595	SRR1300595_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1300663	SRR1300663_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1300722	SRR1300722_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1514746	SRR1514746_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1544208	SRR1544208_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1544246	SRR1544246_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1544295	SRR1544295_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1544433	SRR1544433_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1556103	SRR1556103_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1574320	SRR1574320_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1598889	SRR1598889_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1636987	SRR1636987_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1783171	SRR1783171_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1805574	SRR1805574_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1805653	SRR1805653_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1813446	SRR1813446_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1946938	SRR1946938_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR1951843	SRR1951843_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2070987	SRR2070987_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407532	SRR2407532_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407533	SRR2407533_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407534	SRR2407534_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407535	SRR2407535_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407536	SRR2407536_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407537	SRR2407537_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407538	SRR2407538_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407539	SRR2407539_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407541	SRR2407541_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407543	SRR2407543_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407544	SRR2407544_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407545	SRR2407545_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407546	SRR2407546_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407547	SRR2407547_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407548	SRR2407548_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407549	SRR2407549_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407550	SRR2407550_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407551	SRR2407551_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407552	SRR2407552_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407553	SRR2407553_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407554	SRR2407554_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407555	SRR2407555_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407556	SRR2407556_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407557	SRR2407557_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407558	SRR2407558_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407559	SRR2407559_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407560	SRR2407560_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407561	SRR2407561_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407562	SRR2407562_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407563	SRR2407563_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407564	SRR2407564_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407566	SRR2407566_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407567	SRR2407567_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407568	SRR2407568_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407569	SRR2407569_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407570	SRR2407570_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407571	SRR2407571_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407572	SRR2407572_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407573	SRR2407573_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407574	SRR2407574_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407575	SRR2407575_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407576	SRR2407576_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407577	SRR2407577_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407578	SRR2407578_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407579	SRR2407579_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407580	SRR2407580_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407581	SRR2407581_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407582	SRR2407582_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407583	SRR2407583_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407584	SRR2407584_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407585	SRR2407585_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407586	SRR2407586_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407587	SRR2407587_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407588	SRR2407588_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407589	SRR2407589_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407590	SRR2407590_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407591	SRR2407591_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407592	SRR2407592_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407593	SRR2407593_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407594	SRR2407594_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407595	SRR2407595_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407596	SRR2407596_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407597	SRR2407597_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407598	SRR2407598_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
