# Document with the sample ids, reads ids, source of the bacteria, program under the sample has been extracted, microorganism
## Data from Denmark
	sample_ID	reads_ID	Source	Origin	Microorganism
51	775-PRJ1111-Escherischia-coli-528-16025600_S7	DTU2017-775-PRJ1111-Escherischia-coli-528-16025600_S7_L001_R1_001.trim.fq.gz	Food	Surveillance	E.coli
52	783-PRJ1111-Escherischia-coli-528-16029686_S15	DTU2017-783-PRJ1111-Escherischia-coli-528-16029686_S15_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
53	792-PRJ1111-Escherischia-coli-528-16037235_S24	DTU2017-792-PRJ1111-Escherischia-coli-528-16037235_S24_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
54	795-PRJ1111-Escherischia-coli-528-16041453_S27	DTU2017-795-PRJ1111-Escherischia-coli-528-16041453_S27_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
55	798-PRJ1111-Escherischia-coli-528-16056853_S30	DTU2017-798-PRJ1111-Escherischia-coli-528-16056853_S30_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
56	803-PRJ1111-Escherischia-coli-528-16062097_S35	DTU2017-803-PRJ1111-Escherischia-coli-528-16062097_S35_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
57	807-PRJ1111-Escherischia-coli-360-16020676_S29	DTU2017-807-PRJ1111-Escherischia-coli-360-16020676_S29_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
58	808-PRJ1111-Escherischia-coli-360-16020678_S30	DTU2017-808-PRJ1111-Escherischia-coli-360-16020678_S30_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
59	809-PRJ1111-Escherischia-coli-360-16020939_S31	DTU2017-809-PRJ1111-Escherischia-coli-360-16020939_S31_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
60	810-PRJ1111-Escherischia-coli-360-16027194_S32	DTU2017-810-PRJ1111-Escherischia-coli-360-16027194_S32_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
61	811-PRJ1111-Escherischia-coli-360-16027204_S33	DTU2017-811-PRJ1111-Escherischia-coli-360-16027204_S33_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
62	812-PRJ1111-Escherischia-coli-360-16027227_S34	DTU2017-812-PRJ1111-Escherischia-coli-360-16027227_S34_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
63	813-PRJ1111-Escherischia-coli-360-16027238_S35	DTU2017-813-PRJ1111-Escherischia-coli-360-16027238_S35_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
64	814-PRJ1111-Escherischia-coli-360-16027247_S36	DTU2017-814-PRJ1111-Escherischia-coli-360-16027247_S36_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
65	815-PRJ1111-Escherischia-coli-360-16027377_S37	DTU2017-815-PRJ1111-Escherischia-coli-360-16027377_S37_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
66	816-PRJ1111-Escherischia-coli-360-16027457_S38	DTU2017-816-PRJ1111-Escherischia-coli-360-16027457_S38_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
67	817-PRJ1111-Escherischia-coli-360-16027467_S39	DTU2017-817-PRJ1111-Escherischia-coli-360-16027467_S39_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
68	818-PRJ1111-Escherischia-coli-360-16028116_S40	DTU2017-818-PRJ1111-Escherischia-coli-360-16028116_S40_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
69	822-PRJ1111-Escherischia-coli-360-16028944_S3	DTU2017-822-PRJ1111-Escherischia-coli-360-16028944_S3_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
70	825-PRJ1111-Escherischia-coli-360-16033518_S6	DTU2017-825-PRJ1111-Escherischia-coli-360-16033518_S6_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
71	827-PRJ1111-Escherischia-coli-360-16034011_S8	DTU2017-827-PRJ1111-Escherischia-coli-360-16034011_S8_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
72	828-PRJ1111-Escherischia-coli-360-16034621_S9	DTU2017-828-PRJ1111-Escherischia-coli-360-16034621_S9_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
73	829-PRJ1111-Escherischia-coli-360-16034623_S10	DTU2017-829-PRJ1111-Escherischia-coli-360-16034623_S10_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
74	831-PRJ1111-Escherischia-coli-360-16034781_S12	DTU2017-831-PRJ1111-Escherischia-coli-360-16034781_S12_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
75	832-PRJ1111-Escherischia-coli-360-16034782_S13	DTU2017-832-PRJ1111-Escherischia-coli-360-16034782_S13_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
76	833-PRJ1111-Escherischia-coli-360-16038972_S14	DTU2017-833-PRJ1111-Escherischia-coli-360-16038972_S14_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
77	834-PRJ1111-Escherischia-coli-360-16039247_S15	DTU2017-834-PRJ1111-Escherischia-coli-360-16039247_S15_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
78	835-PRJ1111-Escherischia-coli-360-16039255_S16	DTU2017-835-PRJ1111-Escherischia-coli-360-16039255_S16_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
79	837-PRJ1111-Escherischia-coli-360-16039314_S18	DTU2017-837-PRJ1111-Escherischia-coli-360-16039314_S18_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
80	838-PRJ1111-Escherischia-coli-360-16039410_S19	DTU2017-838-PRJ1111-Escherischia-coli-360-16039410_S19_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
81	840-PRJ1111-Escherischia-coli-360-16039582_S21	DTU2017-840-PRJ1111-Escherischia-coli-360-16039582_S21_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
82	841-PRJ1111-Escherischia-coli-360-16040938_S22	DTU2017-841-PRJ1111-Escherischia-coli-360-16040938_S22_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
83	842-PRJ1111-Escherischia-coli-360-16041103_S23	DTU2017-842-PRJ1111-Escherischia-coli-360-16041103_S23_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
84	843-PRJ1111-Escherischia-coli-360-16041182_S24	DTU2017-843-PRJ1111-Escherischia-coli-360-16041182_S24_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
85	845-PRJ1111-Escherischia-coli-360-16046789_S26	DTU2017-845-PRJ1111-Escherischia-coli-360-16046789_S26_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
86	846-PRJ1111-Escherischia-coli-360-16046790_S27	DTU2017-846-PRJ1111-Escherischia-coli-360-16046790_S27_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
87	847-PRJ1111-Escherischia-coli-360-16047574_S28	DTU2017-847-PRJ1111-Escherischia-coli-360-16047574_S28_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
88	848-PRJ1111-Escherischia-coli-360-16047576_S29	DTU2017-848-PRJ1111-Escherischia-coli-360-16047576_S29_L001_R1_001.trim.fq.gz	Animal	Surveillance	E.coli
