# Document with the sample ids and the antimicrobials that have been tested with
sample_ID,ampicillin,cefoxitin,chloramphenicol,ciprofloxacin,gentamicin,nalidixic acid,tetracycline
SRR1122619,MIC: 32.0,MIC: 32.0,MIC: 4.0,MIC: 0.015,MIC: 0.5,MIC: 2.0,MIC: 16.0
SRR1122635,MIC: 1.0,MIC: 2.0,MIC: 32.0,MIC: 0.015,MIC: 0.5,MIC: 2.0,MIC: 4.0
SRR1122659,MIC: 8.0,MIC: 2.0,MIC: 8.0,MIC: 0.03,MIC: 0.25,MIC: 4.0,MIC: 8.0
SRR1181566,MIC: 1.0,MIC: 4.0,MIC: 2.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 8.0
SRR1200748,MIC: 4.0,MIC: 4.0,MIC: 8.0,MIC: 0.03,MIC: 0.25,MIC: 8.0,MIC: 32.0
SRR1200761,MIC: 4.0,MIC: 4.0,MIC: 8.0,MIC: 0.03,MIC: 0.5,MIC: 8.0,MIC: 32.0
SRR1202997,MIC: 8.0,MIC: 8.0,MIC: 16.0,MIC: 0.06,MIC: 0.25,MIC: 8.0,MIC: 4.0
SRR1203044,MIC: 4.0,MIC: 8.0,MIC: 16.0,MIC: 0.06,MIC: 0.5,MIC: 16.0,MIC: 4.0
SRR1220721,MIC: 32.0,MIC: 2.0,MIC: 32.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 32.0
SRR1299364,MIC: 1.0,MIC: 2.0,MIC: 8.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 16.0
SRR1300595,MIC: 32.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 4.0
SRR1300663,MIC: 32.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 4.0
SRR1300722,MIC: 32.0,MIC: 2.0,MIC: 8.0,MIC: 0.03,MIC: 16.0,MIC: 8.0,MIC: 4.0
SRR1514746,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 16.0,MIC: 4.0,MIC: 16.0
SRR1544208,MIC: 32.0,MIC: 32.0,MIC: 32.0,MIC: 0.015,MIC: 0.25,MIC: 2.0,MIC: 32.0
SRR1544246,MIC: 32.0,MIC: 4.0,MIC: 16.0,MIC: 0.03,MIC: 16.0,MIC: 8.0,MIC: 4.0
SRR1544295,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 0.5,MIC: 4.0,MIC: 16.0
SRR1544433,MIC: 1.0,MIC: 4.0,MIC: 8.0,MIC: 0.015,MIC: 0.25,MIC: 4.0,MIC: 16.0
